Chromosome,Source,Feature,Start,End,Score,Strand,Frame,TranscriptID
3_RagTag,GeneMark.hmm3,gene,91032356,91032739,.,+,.,gene_id file_2_26036_g; transcript_id file_2_26036_t;
3_RagTag,AUGUSTUS,gene,13935838,13939088,0.06,-,.,g18657
2_RagTag,AUGUSTUS,gene,403808603,403808947,0.23,-,.,g17074
2_RagTag,AUGUSTUS,gene,180323382,180330903,0.2,+,.,g12404
1_RagTag,AUGUSTUS,gene,104229253,104229560,0.37,-,.,g3111
3_RagTag,AUGUSTUS,gene,359006924,359007520,0.48,-,.,g26820
1_RagTag,AUGUSTUS,gene,36891036,36918063,0.05,+,.,g1285
3_RagTag,AUGUSTUS,gene,94993225,94993522,0.72,+,.,g20853
1_RagTag,AUGUSTUS,gene,221180597,221196084,0.08,+,.,g5546
3_RagTag,AUGUSTUS,gene,296097602,296132426,0.18,-,.,g25240
2_RagTag,AUGUSTUS,gene,148890174,148892084,0.37,-,.,g11744
2_RagTag,AUGUSTUS,gene,365902480,365903938,0.12,-,.,g16217
1_RagTag,GeneMark.hmm3,gene,16762569,16763293,.,-,.,gene_id file_2_756_g; transcript_id file_2_756_t;
2_RagTag,AUGUSTUS,gene,165337050,165338303,0.94,+,.,g12047
1_RagTag,AUGUSTUS,gene,252103188,252111848,0.1,-,.,g6355
3_RagTag,AUGUSTUS,gene,109848916,109849713,0.39,-,.,g21176
2_RagTag,AUGUSTUS,gene,136320869,136352431,0.14,+,.,g11500
3_RagTag,AUGUSTUS,gene,332399743,332531472,0.01,+,.,g26137
3_RagTag,AUGUSTUS,gene,348965368,348966120,0.75,+,.,g26505
1_RagTag,AUGUSTUS,gene,250538602,250546953,0.07,-,.,g6305
1_RagTag,AUGUSTUS,gene,290023154,290023915,0.98,+,.,g7232
3_RagTag,AUGUSTUS,gene,71290909,71310495,0.01,-,.,g20245
3_RagTag,AUGUSTUS,gene,127661774,127675639,0.85,-,.,g21600
1_RagTag,AUGUSTUS,gene,114504311,114505063,0.81,-,.,g3328
2_RagTag,AUGUSTUS,gene,40850981,40851496,0.26,+,.,g9130
3_RagTag,AUGUSTUS,gene,128327301,128337273,0.11,-,.,g21610
2_RagTag,AUGUSTUS,gene,193892119,193893206,0.89,-,.,g12697
3_RagTag,AUGUSTUS,gene,348736166,348738003,0.29,+,.,g26494
2_RagTag,AUGUSTUS,gene,3390540,3390828,0.38,+,.,g8154
3_RagTag,AUGUSTUS,gene,659156,670770,0.01,+,.,g18210
ptg000462l,AUGUSTUS,gene,6129,40497,0.01,+,.,g27677
2_RagTag,AUGUSTUS,gene,97512909,97513198,0.09,-,.,g10685
1_RagTag,AUGUSTUS,gene,52924307,52932259,0.03,-,.,g1782
2_RagTag,AUGUSTUS,gene,302958224,302987470,0.01,-,.,g14712
3_RagTag,AUGUSTUS,gene,301319359,301321383,0.45,-,.,g25338
ptg000528l,AUGUSTUS,gene,502273,505036,0.49,-,.,g27751
3_RagTag,AUGUSTUS,gene,26010029,26010547,0.93,-,.,g19050
2_RagTag,AUGUSTUS,gene,95934866,95942378,0.46,-,.,g10615
3_RagTag,AUGUSTUS,gene,347633884,347634746,0.17,-,.,g26455
1_RagTag,AUGUSTUS,gene,275513450,275516963,0.45,-,.,g6832
2_RagTag,AUGUSTUS,gene,110914996,110917546,0.14,-,.,g11034
2_RagTag,AUGUSTUS,gene,44654032,44758230,0.01,+,.,g9255
2_RagTag,AUGUSTUS,gene,168181794,168182579,0.78,-,.,g12100
3_RagTag,AUGUSTUS,gene,53131713,53132939,0.91,-,.,g19807
ptg000528l,AUGUSTUS,gene,733006,749328,0.01,+,.,g27759
3_RagTag,AUGUSTUS,gene,95641166,95645718,0.61,+,.,g20878
2_RagTag,AUGUSTUS,gene,413769747,413785080,0.7,-,.,g17373
2_RagTag,AUGUSTUS,gene,84198034,84233547,0.07,+,.,g10289
3_RagTag,AUGUSTUS,gene,198653717,198654928,0.97,+,.,g23083
3_RagTag,AUGUSTUS,gene,241984293,241989625,0.06,-,.,g23920
3_RagTag,AUGUSTUS,gene,115185990,115194347,0.51,+,.,g21296
ptg001002l,AUGUSTUS,gene,21018,57980,0.03,+,.,g28233
1_RagTag,AUGUSTUS,gene,242140508,242142220,0.02,-,.,g6150
ptg000214l,AUGUSTUS,gene,1203668,1239627,0.12,-,.,g27376
2_RagTag,AUGUSTUS,gene,163045670,163046141,0.7,-,.,g12003
2_RagTag,AUGUSTUS,gene,370142333,370157683,0.43,-,.,g16303
3_RagTag,AUGUSTUS,gene,139437005,139460357,0.25,-,.,g21853
1_RagTag,AUGUSTUS,gene,200941046,200957730,0.65,+,.,g4917
3_RagTag,AUGUSTUS,gene,325441785,325445379,0.06,-,.,g25953
2_RagTag,AUGUSTUS,gene,391345947,391387694,0.17,+,.,g16791
3_RagTag,AUGUSTUS,gene,170729831,170743921,0.35,+,.,g22510
2_RagTag,AUGUSTUS,gene,105183054,105200109,0.55,+,.,g10865
2_RagTag,AUGUSTUS,gene,228633376,228637129,0.17,-,.,g13275
1_RagTag,AUGUSTUS,gene,302937793,302938588,0.12,-,.,g7676
1_RagTag,AUGUSTUS,gene,169332966,169342184,0.1,+,.,g4294
1_RagTag,GeneMark.hmm3,gene,23760597,23761130,.,+,.,gene_id file_2_1097_g; transcript_id file_2_1097_t;
1_RagTag,AUGUSTUS,gene,33415229,33418393,0.85,-,.,g1190
3_RagTag,AUGUSTUS,gene,60936448,60939197,0.26,+,.,g19976
2_RagTag,AUGUSTUS,gene,6590252,6628612,0.01,-,.,g8236
2_RagTag,AUGUSTUS,gene,326354879,326355426,0.75,-,.,g15286
1_RagTag,GeneMark.hmm3,gene,306365945,306372146,.,-,.,gene_id file_2_9891_g; transcript_id file_2_9891_t;
3_RagTag,AUGUSTUS,gene,353653802,353666932,0.05,+,.,g26668
2_RagTag,AUGUSTUS,gene,93304443,93305768,0.17,-,.,g10528
2_RagTag,AUGUSTUS,gene,302574970,302575589,1,+,.,g14705
3_RagTag,AUGUSTUS,gene,361996463,362021331,0.06,-,.,g26887
2_RagTag,AUGUSTUS,gene,325934333,325983535,0.24,+,.,g15274
3_RagTag,AUGUSTUS,gene,115015715,115028527,0.03,-,.,g21288
2_RagTag,AUGUSTUS,gene,9913485,9997631,0.02,+,.,g8315
3_RagTag,AUGUSTUS,gene,284312927,284337924,0.39,+,.,g24880
1_RagTag,AUGUSTUS,gene,10467468,10468453,0.94,+,.,g335
1_RagTag,AUGUSTUS,gene,298639799,298641641,0.1,+,.,g7525
2_RagTag,AUGUSTUS,gene,46740778,46755079,0.84,+,.,g9306
1_RagTag,AUGUSTUS,gene,35382001,35384476,0.86,-,.,g1245
ptg000976l,GeneMark.hmm3,gene,62909,63504,.,-,.,gene_id file_2_35271_g; transcript_id file_2_35271_t;
2_RagTag,AUGUSTUS,gene,293648614,293662046,0.43,+,.,g14525
1_RagTag,AUGUSTUS,gene,241505366,241507889,0.01,+,.,g6137
3_RagTag,AUGUSTUS,gene,373319031,373336684,0.03,-,.,g27222
1_RagTag,AUGUSTUS,gene,73207389,73207637,0.59,-,.,g2349
1_RagTag,AUGUSTUS,gene,43750611,43765270,0.04,+,.,g1486
3_RagTag,AUGUSTUS,gene,200671071,200673115,0.39,-,.,g23122
2_RagTag,AUGUSTUS,gene,290643942,290645388,0.87,-,.,g14458
1_RagTag,AUGUSTUS,gene,217495659,217506142,0.04,-,.,g5406
2_RagTag,AUGUSTUS,gene,413045949,413046402,0.83,+,.,g17325
2_RagTag,AUGUSTUS,gene,15907325,15909306,0.23,+,.,g8434
3_RagTag,AUGUSTUS,gene,169525367,169529702,0.31,-,.,g22473
3_RagTag,AUGUSTUS,gene,41819882,41820991,0.91,+,.,g19534
2_RagTag,AUGUSTUS,gene,352106975,352165362,0.16,-,.,g15902
3_RagTag,AUGUSTUS,gene,362589433,362602083,0.16,+,.,g26907
2_RagTag,AUGUSTUS,gene,215197129,215237783,0.03,+,.,g13041
2_RagTag,AUGUSTUS,gene,256270512,256289586,0.02,-,.,g13796
1_RagTag,AUGUSTUS,gene,246265558,246335224,0.01,-,.,g6229
3_RagTag,AUGUSTUS,gene,330731283,330745563,0.25,+,.,g26104
2_RagTag,GeneMark.hmm3,gene,199550406,199550859,.,+,.,gene_id file_2_16152_g; transcript_id file_2_16152_t;
2_RagTag,AUGUSTUS,gene,170918501,170921289,0.11,-,.,g12164
3_RagTag,AUGUSTUS,gene,26053811,26054705,0.85,+,.,g19057
2_RagTag,AUGUSTUS,gene,293662156,293680170,0.24,-,.,g14526
2_RagTag,AUGUSTUS,gene,74067323,74070526,0.6,+,.,g10024
2_RagTag,AUGUSTUS,gene,325509522,325510259,0.64,+,.,g15250
1_RagTag,AUGUSTUS,gene,241360691,241361161,0.87,+,.,g6132
2_RagTag,AUGUSTUS,gene,310366548,310367735,0.4,+,.,g14886
3_RagTag,AUGUSTUS,gene,72044365,72046710,0.79,+,.,g20256
3_RagTag,AUGUSTUS,gene,315946342,315992186,0.1,+,.,g25702
2_RagTag,AUGUSTUS,gene,16657334,16658172,0.2,-,.,g8458
3_RagTag,AUGUSTUS,gene,205699941,205702043,0.7,-,.,g23207
2_RagTag,AUGUSTUS,gene,56163875,56171373,0.14,-,.,g9612
2_RagTag,AUGUSTUS,gene,356321773,356322660,0.81,-,.,g16009
2_RagTag,AUGUSTUS,gene,414957988,414985574,0.07,-,.,g17404
3_RagTag,AUGUSTUS,gene,51364271,51365904,0.97,-,.,g19739
3_RagTag,AUGUSTUS,gene,208166271,208171905,0.01,-,.,g23248
3_RagTag,AUGUSTUS,gene,221840824,221856972,0.74,-,.,g23490
1_RagTag,AUGUSTUS,gene,20654384,20655403,0.36,+,.,g763
2_RagTag,AUGUSTUS,gene,52135108,52135941,1,+,.,g9428
3_RagTag,GeneMark.hmm3,gene,214227774,214228133,.,-,.,gene_id file_2_29318_g; transcript_id file_2_29318_t;
1_RagTag,AUGUSTUS,gene,52562297,52568965,0.64,+,.,g1759
ptg000528l,AUGUSTUS,gene,674393,674678,0.32,-,.,g27756
1_RagTag,GeneMark.hmm3,gene,249644193,249652368,.,+,.,gene_id file_2_8008_g; transcript_id file_2_8008_t;
2_RagTag,AUGUSTUS,gene,357347993,357349527,0.01,-,.,g16033
1_RagTag,AUGUSTUS,gene,227119113,227122125,0.49,+,.,g5736
3_RagTag,GeneMark.hmm3,gene,365228770,365237331,.,-,.,gene_id file_2_33793_g; transcript_id file_2_33793_t;
2_RagTag,AUGUSTUS,gene,251943350,251978810,0.53,+,.,g13724
3_RagTag,AUGUSTUS,gene,104141926,104183299,0.32,+,.,g21058
3_RagTag,AUGUSTUS,gene,242161833,242181526,0.01,+,.,g23922
3_RagTag,AUGUSTUS,gene,136347905,136353058,0.01,+,.,g21788
3_RagTag,AUGUSTUS,gene,87835772,87836635,0.95,+,.,g20650
1_RagTag,AUGUSTUS,gene,210342881,210356605,0.01,+,.,g5187
2_RagTag,AUGUSTUS,gene,399155041,399173629,0.11,+,.,g16971
2_RagTag,AUGUSTUS,gene,405957700,405976433,0.09,-,.,g17121
2_RagTag,AUGUSTUS,gene,431203968,431204260,0.86,+,.,g17870
3_RagTag,GeneMark.hmm3,gene,318238823,318247581,.,+,.,gene_id file_2_32332_g; transcript_id file_2_32332_t;
3_RagTag,AUGUSTUS,gene,207922698,207934041,0.12,-,.,g23242
1_RagTag,AUGUSTUS,gene,111234781,111275241,0.01,-,.,g3263
2_RagTag,AUGUSTUS,gene,342538923,342552529,0.12,+,.,g15675
2_RagTag,AUGUSTUS,gene,167315526,167316735,0.72,+,.,g12076
2_RagTag,GeneMark.hmm3,gene,200057761,200067893,.,+,.,gene_id file_2_16168_g; transcript_id file_2_16168_t;
1_RagTag,AUGUSTUS,gene,248308266,248313820,0.53,+,.,g6270
1_RagTag,AUGUSTUS,gene,298631102,298631899,0.55,+,.,g7522
3_RagTag,AUGUSTUS,gene,117469888,117471390,0.02,+,.,g21362
1_RagTag,AUGUSTUS,gene,102219327,102230135,0.01,-,.,g3080
1_RagTag,AUGUSTUS,gene,243226381,243229390,0.1,+,.,g6172
2_RagTag,AUGUSTUS,gene,406236486,406237418,0.18,+,.,g17126
2_RagTag,AUGUSTUS,gene,346264888,346265644,0.9,-,.,g15757
1_RagTag,AUGUSTUS,gene,272629298,272630506,0.01,+,.,g6768
2_RagTag,AUGUSTUS,gene,325714585,325716592,0.11,+,.,g15259
3_RagTag,AUGUSTUS,gene,195141841,195198779,0.01,+,.,g23018
3_RagTag,AUGUSTUS,gene,22980416,22981064,0.03,+,.,g18959
3_RagTag,AUGUSTUS,gene,112342560,112427427,0.01,+,.,g21214
1_RagTag,AUGUSTUS,gene,254644750,254650186,0.08,-,.,g6407
1_RagTag,AUGUSTUS,gene,61878040,61879666,0.41,-,.,g2051
2_RagTag,AUGUSTUS,gene,58874018,58882812,0.99,-,.,g9661
2_RagTag,AUGUSTUS,gene,226532977,226553538,0.61,+,.,g13229
2_RagTag,AUGUSTUS,gene,252698515,252698995,0.16,+,.,g13741
1_RagTag,AUGUSTUS,gene,228629736,228649766,0.06,-,.,g5809
3_RagTag,AUGUSTUS,gene,183776529,183792629,0.05,+,.,g22792
1_RagTag,GeneMark.hmm3,gene,244482110,244482695,.,+,.,gene_id file_2_7882_g; transcript_id file_2_7882_t;
2_RagTag,AUGUSTUS,gene,376972342,377008214,0.36,+,.,g16460
3_RagTag,AUGUSTUS,gene,156308439,156310658,0.18,-,.,g22210
2_RagTag,AUGUSTUS,gene,310401417,310411167,0.44,-,.,g14889
1_RagTag,AUGUSTUS,gene,33122743,33124107,0.47,-,.,g1173
1_RagTag,AUGUSTUS,gene,35544170,35558960,0.33,+,.,g1248
2_RagTag,AUGUSTUS,gene,42596589,42615546,0.01,-,.,g9200
1_RagTag,AUGUSTUS,gene,208141759,208146719,0.02,+,.,g5096
3_RagTag,AUGUSTUS,gene,217666231,217677625,0.12,-,.,g23426
3_RagTag,AUGUSTUS,gene,366481287,366498488,0.02,-,.,g27019
3_RagTag,AUGUSTUS,gene,218223615,218247067,0,-,.,g23437
2_RagTag,AUGUSTUS,gene,347567504,347568313,0.5,+,.,g15791
2_RagTag,AUGUSTUS,gene,98183064,98183729,1,-,.,g10692
3_RagTag,AUGUSTUS,gene,225698650,225776453,0.01,-,.,g23575
3_RagTag,AUGUSTUS,gene,268247516,268249249,0.2,+,.,g24489
2_RagTag,AUGUSTUS,gene,422331326,422374516,0.22,-,.,g17608
1_RagTag,AUGUSTUS,gene,16685593,16686381,0.68,+,.,g588
2_RagTag,AUGUSTUS,gene,416832607,416838222,0.15,-,.,g17449
3_RagTag,AUGUSTUS,gene,77443793,77481140,0.01,-,.,g20384
1_RagTag,AUGUSTUS,gene,92230227,92251930,0.06,-,.,g2875
1_RagTag,AUGUSTUS,gene,306512634,306514765,0.33,-,.,g7784
3_RagTag,AUGUSTUS,gene,257179281,257182502,0.13,-,.,g24226
3_RagTag,AUGUSTUS,gene,142077122,142089139,0.44,-,.,g21927
1_RagTag,GeneMark.hmm3,gene,38650421,38660031,.,+,.,gene_id file_2_1657_g; transcript_id file_2_1657_t;
2_RagTag,AUGUSTUS,gene,53893169,53894633,0.97,+,.,g9488
2_RagTag,AUGUSTUS,gene,214666371,214678495,0.03,-,.,g13032
1_RagTag,AUGUSTUS,gene,220733001,220733774,0.45,-,.,g5528
3_RagTag,AUGUSTUS,gene,83041637,83042353,0.64,+,.,g20526
2_RagTag,AUGUSTUS,gene,328506241,328507451,0.47,+,.,g15351
1_RagTag,AUGUSTUS,gene,285519296,285520132,0.9,-,.,g7120
1_RagTag,AUGUSTUS,gene,181722602,181723192,0.41,-,.,g4489
1_RagTag,AUGUSTUS,gene,44520577,44522163,0.5,-,.,g1513
2_RagTag,AUGUSTUS,gene,281241665,281249934,0.31,-,.,g14291
2_RagTag,AUGUSTUS,gene,288192465,288193701,0.06,-,.,g14411
3_RagTag,AUGUSTUS,gene,250792163,250793991,0.77,+,.,g24106
2_RagTag,AUGUSTUS,gene,74641788,74646691,0.24,+,.,g10046
1_RagTag,AUGUSTUS,gene,137746347,137758853,0.22,-,.,g3712
2_RagTag,AUGUSTUS,gene,247113934,247116896,0.19,-,.,g13635
2_RagTag,AUGUSTUS,gene,2928454,2929091,0.76,-,.,g8142
2_RagTag,AUGUSTUS,gene,203246908,203258621,0.06,-,.,g12872
1_RagTag,AUGUSTUS,gene,102752853,102778048,0.01,-,.,g3090
1_RagTag,AUGUSTUS,gene,310309548,310310026,0.24,+,.,g7918
1_RagTag,AUGUSTUS,gene,220491206,220492983,0.87,+,.,g5509
1_RagTag,AUGUSTUS,gene,306384396,306384765,0.62,+,.,g7780
1_RagTag,AUGUSTUS,gene,229062840,229091192,0.01,-,.,g5837
2_RagTag,AUGUSTUS,gene,14626447,14627097,0.34,+,.,g8410
2_RagTag,AUGUSTUS,gene,133398220,133415019,0.1,-,.,g11444
1_RagTag,AUGUSTUS,gene,14607703,14614641,0.45,+,.,g481
1_RagTag,AUGUSTUS,gene,188029918,188030261,0.18,+,.,g4626
2_RagTag,AUGUSTUS,gene,385316920,385319253,0.85,+,.,g16614
1_RagTag,AUGUSTUS,gene,237777626,237815473,0.01,-,.,g6064
3_RagTag,AUGUSTUS,gene,72664844,72665382,0.43,-,.,g20277
1_RagTag,AUGUSTUS,gene,226626563,226628226,0.13,-,.,g5726
1_RagTag,AUGUSTUS,gene,67555862,67560544,0.03,-,.,g2209
3_RagTag,AUGUSTUS,gene,66011081,66039446,0.26,-,.,g20088
3_RagTag,AUGUSTUS,gene,161678185,161738168,0.08,-,.,g22316
2_RagTag,AUGUSTUS,gene,54499405,54505660,0.16,-,.,g9540
1_RagTag,AUGUSTUS,gene,35006848,35014220,0.06,-,.,g1227
2_RagTag,AUGUSTUS,gene,168209036,168210388,0.45,+,.,g12104
1_RagTag,AUGUSTUS,gene,103478663,103489684,0.13,+,.,g3100
3_RagTag,AUGUSTUS,gene,350095763,350149648,0.03,+,.,g26521
1_RagTag,AUGUSTUS,gene,295489982,295491396,0.84,-,.,g7393
2_RagTag,AUGUSTUS,gene,367197996,367260552,0.04,-,.,g16246
ptg000401l,AUGUSTUS,gene,4643,6377,0.65,+,.,g27638
3_RagTag,GeneMark.hmm3,gene,151243654,151244192,.,+,.,gene_id file_2_27751_g; transcript_id file_2_27751_t;
3_RagTag,AUGUSTUS,gene,93097313,93114090,0.16,+,.,g20792
2_RagTag,AUGUSTUS,gene,416575968,416576462,0.69,+,.,g17439
2_RagTag,AUGUSTUS,gene,158758339,158823937,0.01,-,.,g11921
2_RagTag,AUGUSTUS,gene,101013645,101015130,0.08,+,.,g10757
1_RagTag,AUGUSTUS,gene,143627134,143635098,0.01,+,.,g3857
2_RagTag,AUGUSTUS,gene,27740412,27748274,0.71,+,.,g8798
2_RagTag,AUGUSTUS,gene,181473809,181480232,0.05,-,.,g12423
2_RagTag,AUGUSTUS,gene,362153647,362155594,0.32,+,.,g16121
2_RagTag,AUGUSTUS,gene,142581955,142582384,0.25,+,.,g11626
3_RagTag,AUGUSTUS,gene,44352289,44359206,0.28,+,.,g19584
1_RagTag,AUGUSTUS,gene,122998841,123025334,0.14,+,.,g3462
2_RagTag,AUGUSTUS,gene,280884662,280908370,0.3,+,.,g14286
2_RagTag,AUGUSTUS,gene,99411794,99413713,0.63,-,.,g10725
3_RagTag,AUGUSTUS,gene,11196690,11197223,0.74,+,.,g18568
3_RagTag,AUGUSTUS,gene,326437083,326440943,0.08,-,.,g25973
1_RagTag,AUGUSTUS,gene,2839618,2854933,0.01,-,.,g109
3_RagTag,AUGUSTUS,gene,308021377,308055580,0,-,.,g25507
3_RagTag,AUGUSTUS,gene,353764878,353785166,0.2,+,.,g26671
3_RagTag,AUGUSTUS,gene,57081701,57084039,0.44,-,.,g19900
3_RagTag,AUGUSTUS,gene,196592261,196598470,0.09,+,.,g23036
2_RagTag,AUGUSTUS,gene,365814840,365825901,0.14,-,.,g16210
2_RagTag,AUGUSTUS,gene,230523365,230539109,0.09,+,.,g13300
2_RagTag,AUGUSTUS,gene,124966988,124977179,0.14,-,.,g11299
